"date","matchId","match","score","actualHalfFull","rank","top1","top2","top3","top4"
"2026-06-13","OF2026-008","卡塔尔 vs 瑞士","1 - 1","负平","未进前4","负负","胜胜","平负","平平"
"2026-06-13","OF2026-013","巴西 vs 摩洛哥","1 - 1","平平","3","胜胜","负负","平平","平胜"
"2026-06-13","OF2026-014","海地 vs 苏格兰","0 - 1","负负","2","胜胜","负负","平胜","平平"
"2026-06-13","OF2026-020","澳大利亚 vs 土耳其","2 - 0","胜胜","1","胜胜","负负","平胜","平平"
"2026-06-14","OF2026-025","德国 vs 库拉索","7 - 1","胜胜","1","胜胜","平胜","负胜","平平"
"2026-06-14","OF2026-031","荷兰 vs 日本","2 - 2","平平","4","胜胜","负负","平胜","平平"
"2026-06-14","OF2026-026","科特迪瓦 vs 厄瓜多尔","1 - 0","平胜","3","胜胜","平平","平胜","负负"
"2026-06-14","OF2026-032","瑞典 vs 突尼斯","5 - 1","胜胜","4","负负","平平","平负","胜胜"
"2026-06-15","OF2026-043","西班牙 vs 佛得角","0 - 0","平平","3","胜胜","平胜","平平","负胜"
"2026-06-15","OF2026-037","比利时 vs 埃及","1 - 1","负平","未进前4","胜胜","平胜","平平","负负"
"2026-06-15","OF2026-044","沙特阿拉伯 vs 乌拉圭","1 - 1","胜平","未进前4","负负","平平","平负","胜胜"
"2026-06-15","OF2026-038","伊朗 vs 新西兰","2 - 2","平平","3","胜胜","平胜","平平","负负"
"2026-06-16","OF2026-049","法国 vs 塞内加尔","3 - 1","平胜","2","胜胜","平胜","负负","平平"
"2026-06-16","OF2026-050","伊拉克 vs 挪威","1 - 4","负负","1","负负","平平","平负","胜胜"
"2026-06-16","OF2026-055","阿根廷 vs 阿尔及利亚","3 - 0","胜胜","1","胜胜","平胜","平平","负负"
"2026-06-16","OF2026-056","奥地利 vs 约旦","3 - 1","胜胜","1","胜胜","负负","平胜","平平"
"2026-06-17","OF2026-061","葡萄牙 vs 刚果民主共和国","1 - 1","平平","3","胜胜","平胜","平平","负负"
"2026-06-17","OF2026-067","英格兰 vs 克罗地亚","4 - 2","平胜","2","胜胜","平胜","平平","负负"
"2026-06-17","OF2026-068","加纳 vs 巴拿马","1 - 0","平胜","4","胜胜","负负","平平","平胜"
"2026-06-17","OF2026-062","乌兹别克斯坦 vs 哥伦比亚","1 - 3","负负","2","平平","负负","胜胜","平负"
"2026-06-18","OF2026-003","捷克 vs 南非","1 - 1","胜平","未进前4","负负","胜胜","平平","平负"
"2026-06-18","OF2026-009","瑞士 vs 波黑","4 - 1","平胜","2","胜胜","平胜","负负","平平"
"2026-06-18","OF2026-010","加拿大 vs 卡塔尔","6 - 0","胜胜","1","胜胜","平胜","平平","负负"
"2026-06-18","OF2026-004","墨西哥 vs 韩国","1 - 0","平胜","3","胜胜","负负","平胜","平平"
"2026-06-19","OF2026-021","美国 vs 澳大利亚","2 - 0","胜胜","1","胜胜","负负","平胜","平平"
"2026-06-19","OF2026-015","苏格兰 vs 摩洛哥","0 - 1","负负","1","负负","平负","平平","胜胜"
"2026-06-19","OF2026-016","巴西 vs 海地","3 - 0","胜胜","1","胜胜","平胜","平平","负负"
"2026-06-19","OF2026-022","土耳其 vs 巴拉圭","0 - 1","负负","4","胜胜","平胜","平平","负负"
"2026-06-20","OF2026-033","荷兰 vs 瑞典","5 - 1","胜胜","1","胜胜","平胜","负胜","负负"
"2026-06-20","OF2026-027","德国 vs 科特迪瓦","2 - 1","负胜","未进前4","胜胜","平胜","负负","平平"
"2026-06-20","OF2026-028","厄瓜多尔 vs 库拉索","0 - 0","平平","3","胜胜","平胜","平平","负负"
"2026-06-20","OF2026-034","突尼斯 vs 日本","0 - 4","负负","1","负负","平平","平负","胜胜"
"2026-06-21","OF2026-045","西班牙 vs 沙特阿拉伯","4 - 0","胜胜","1","胜胜","平胜","平平","负胜"
"2026-06-21","OF2026-039","比利时 vs 伊朗","0 - 0","平平","4","胜胜","平胜","负负","平平"
"2026-06-21","OF2026-046","乌拉圭 vs 佛得角","2 - 2","胜平","未进前4","平平","胜胜","平胜","负负"
"2026-06-21","OF2026-040","新西兰 vs 埃及","1 - 3","胜负","未进前4","负负","平平","平负","胜胜"
"2026-06-22","OF2026-057","阿根廷 vs 奥地利","2 - 0","胜胜","1","胜胜","平胜","平平","负负"
"2026-06-22","OF2026-051","法国 vs 伊拉克","3 - 0","胜胜","1","胜胜","平胜","平平","负负"
"2026-06-22","OF2026-052","挪威 vs 塞内加尔","3 - 2","胜胜","2","负负","胜胜","平平","平负"
"2026-06-22","OF2026-058","约旦 vs 阿尔及利亚","1 - 2","胜负","未进前4","负负","平负","平平","胜胜"
"2026-06-23","OF2026-063","葡萄牙 vs 乌兹别克斯坦","5 - 0","胜胜","1","胜胜","平胜","平平","负负"
"2026-06-23","OF2026-069","英格兰 vs 加纳","0 - 0","平平","3","胜胜","平胜","平平","负胜"
