source_competition,match_count,competition,match_type
英冠,4532,CLUB_OFFICIAL_OTHER,OFFICIAL
英超,3745,PREMIER_LEAGUE,OFFICIAL
日乙,3555,CLUB_OFFICIAL_OTHER,OFFICIAL
意甲,3555,SERIE_A,OFFICIAL
西甲,3514,LA_LIGA,OFFICIAL
美职足,3272,CLUB_OFFICIAL_OTHER,OFFICIAL
法甲,2975,LIGUE_1,OFFICIAL
德甲,2812,BUNDESLIGA,OFFICIAL
法乙,2797,CLUB_OFFICIAL_OTHER,OFFICIAL
巴甲,2629,BRAZIL_SERIE_A,OFFICIAL
荷乙,2578,CLUB_OFFICIAL_OTHER,OFFICIAL
日职,2575,CLUB_OFFICIAL_OTHER,OFFICIAL
葡超,2571,PRIMEIRA_LIGA,OFFICIAL
德乙,2543,CLUB_OFFICIAL_OTHER,OFFICIAL
英甲,2535,CLUB_OFFICIAL_OTHER,OFFICIAL
荷甲,2426,EREDIVISIE,OFFICIAL
瑞超,2186,CLUB_OFFICIAL_OTHER,OFFICIAL
挪超,2185,CLUB_OFFICIAL_OTHER,OFFICIAL
欧罗巴,2179,EUROPA_LEAGUE,OFFICIAL
欧冠,1814,CHAMPIONS_LEAGUE,OFFICIAL
阿甲,1774,ARGENTINE_PRIMERA_DIVISION,OFFICIAL
韩职,1541,CLUB_OFFICIAL_OTHER,OFFICIAL
俄超,1535,CLUB_OFFICIAL_OTHER,OFFICIAL
墨超,1406,CLUB_OFFICIAL_OTHER,OFFICIAL
澳超,1306,CLUB_OFFICIAL_OTHER,OFFICIAL
世预赛,1274,INTERNATIONAL_OFFICIAL,OFFICIAL
智利甲,976,CLUB_OFFICIAL_OTHER,OFFICIAL
苏超,972,CLUB_OFFICIAL_OTHER,OFFICIAL
解放者杯,899,CLUB_OFFICIAL_OTHER,OFFICIAL
比甲,879,CLUB_OFFICIAL_OTHER,OFFICIAL
亚冠,866,CLUB_OFFICIAL_OTHER,OFFICIAL
英足总杯,811,CLUB_OFFICIAL_OTHER,OFFICIAL
国际赛,709,INTERNATIONAL_FRIENDLY,INTERNATIONAL_FRIENDLY
英联赛杯,560,CLUB_OFFICIAL_OTHER,OFFICIAL
欧预赛,517,INTERNATIONAL_OFFICIAL,OFFICIAL
欧国联,455,INTERNATIONAL_OFFICIAL,OFFICIAL
日联赛杯,438,CLUB_OFFICIAL_OTHER,OFFICIAL
国王杯,407,CLUB_OFFICIAL_OTHER,OFFICIAL
俱乐部杯,403,CLUB_OFFICIAL_OTHER,OFFICIAL
英锦标赛,353,CLUB_OFFICIAL_OTHER,OFFICIAL
俱乐部赛,348,CLUB_FRIENDLY,CLUB_FRIENDLY
德国杯,319,CLUB_OFFICIAL_OTHER,OFFICIAL
法国杯,301,CLUB_OFFICIAL_OTHER,OFFICIAL
巴西杯,297,CLUB_OFFICIAL_OTHER,OFFICIAL
天皇杯,258,CLUB_OFFICIAL_OTHER,OFFICIAL
意大利杯,236,CLUB_OFFICIAL_OTHER,OFFICIAL
非洲杯,194,INTERNATIONAL_OFFICIAL,OFFICIAL
世青赛,194,INTERNATIONAL_OFFICIAL,OFFICIAL
欧协联,183,CLUB_OFFICIAL_OTHER,OFFICIAL
荷兰杯,166,CLUB_OFFICIAL_OTHER,OFFICIAL
葡联赛杯,160,CLUB_OFFICIAL_OTHER,OFFICIAL
欧洲杯,153,EUROPEAN_CHAMPIONSHIP,OFFICIAL
金杯赛,146,INTERNATIONAL_OFFICIAL,OFFICIAL
女世界杯,146,INTERNATIONAL_OFFICIAL,OFFICIAL
苏联赛杯,145,CLUB_OFFICIAL_OTHER,OFFICIAL
美洲杯,144,COPA_AMERICA,OFFICIAL
亚洲杯,133,INTERNATIONAL_OFFICIAL,OFFICIAL
亚奥赛,132,INTERNATIONAL_OFFICIAL,OFFICIAL
世俱杯,131,CLUB_WORLD_CUP,OFFICIAL
世界杯,128,WORLD_CUP,OFFICIAL
沙职,127,CLUB_OFFICIAL_OTHER,OFFICIAL
中北美冠,126,CLUB_OFFICIAL_OTHER,OFFICIAL
葡萄牙杯,122,CLUB_OFFICIAL_OTHER,OFFICIAL
欧青赛,118,INTERNATIONAL_OFFICIAL,OFFICIAL
杯赛,113,CLUB_FRIENDLY,CLUB_FRIENDLY
公开赛杯,111,CLUB_OFFICIAL_OTHER,OFFICIAL
苏足总杯,105,CLUB_OFFICIAL_OTHER,OFFICIAL
奥运男足,93,INTERNATIONAL_OFFICIAL,OFFICIAL
智利杯,83,CLUB_OFFICIAL_OTHER,OFFICIAL
奥运女足,76,INTERNATIONAL_OFFICIAL,OFFICIAL
芬超,76,CLUB_OFFICIAL_OTHER,OFFICIAL
挪威杯,75,CLUB_OFFICIAL_OTHER,OFFICIAL
欧青预赛,74,INTERNATIONAL_OFFICIAL,OFFICIAL
亚冠精英,70,CLUB_OFFICIAL_OTHER,OFFICIAL
韩足总杯,64,CLUB_OFFICIAL_OTHER,OFFICIAL
澳杯,62,CLUB_OFFICIAL_OTHER,OFFICIAL
