"日期","时间","阶段","主队","客队","实际比分","预测比分位置","命中概率","预测前5","MatchId"
"2026-06-11","15:00:00","A组","墨西哥","南非","2-0","第4","9.5%","1-0(13.35%) / 1-1(12.74%) / 0-0(9.59%) / 2-0(9.5%) / 0-1(9.21%)","OF2026-001"
"2026-06-11","22:00:00","A组","韩国","捷克","2-1","第3","9.2%","1-1(11.85%) / 1-0(10.25%) / 2-1(9.2%) / 2-0(7.88%) / 0-1(7.48%)","OF2026-002"
"2026-06-12","15:00:00","B组","加拿大","波黑","1-1","第5","7.9%","2-0(10.52%) / 2-1(9.38%) / 1-0(8.57%) / 3-0(8.49%) / 1-1(7.9%)","OF2026-007"
"2026-06-12","21:00:00","D组","美国","巴拉圭","4-1","未进前5","","2-0(11.99%) / 1-0(10.24%) / 2-1(9.39%) / 3-0(9.01%) / 1-1(8.33%)","OF2026-019"
"2026-06-13","15:00:00","B组","卡塔尔","瑞士","1-1","第1","11.62%","1-1(11.62%) / 1-2(9.43%) / 0-1(8.95%) / 0-2(7.31%) / 1-0(7.17%)","OF2026-008"
"2026-06-13","18:00:00","C组","巴西","摩洛哥","1-1","第1","12.65%","1-1(12.65%) / 1-0(10.55%) / 0-1(9.84%) / 2-1(8.38%) / 0-0(8.05%)","OF2026-013"
"2026-06-13","21:00:00","C组","海地","苏格兰","0-1","未进前5","","1-1(10.13%) / 2-1(9.31%) / 1-0(7.32%) / 2-0(7.03%) / 1-2(6.86%)","OF2026-014"
"2026-06-14","00:00:00","D组","澳大利亚","土耳其","2-0","第5","7.43%","1-1(11.58%) / 1-0(9.73%) / 2-1(9.22%) / 0-1(7.65%) / 2-0(7.43%)","OF2026-020"
"2026-06-14","13:00:00","E组","德国","库拉索","7-1","未进前5","","3-1(7.56%) / 4-1(7.19%) / 3-0(6.61%) / 4-0(6.31%) / 2-1(5.89%)","OF2026-025"
"2026-06-14","16:00:00","F组","荷兰","日本","2-2","第3","6.63%","2-1(8.64%) / 1-1(7.61%) / 2-2(6.63%) / 3-1(6.45%) / 1-2(6.14%)","OF2026-031"
"2026-06-14","19:00:00","E组","科特迪瓦","厄瓜多尔","1-0","第1","17.55%","1-0(17.55%) / 0-0(15.34%) / 1-1(12.97%) / 0-1(11.23%) / 2-0(9.79%)","OF2026-026"
"2026-06-14","22:00:00","F组","瑞典","突尼斯","5-1","未进前5","","1-1(12.93%) / 0-1(12.49%) / 1-0(9.43%) / 0-0(9.29%) / 1-2(8.87%)","OF2026-032"
"2026-06-15","12:00:00","H组","西班牙","佛得角","0-0","未进前5","","3-0(10.35%) / 2-0(10.12%) / 2-1(7.92%) / 4-0(7.87%) / 3-1(7.77%)","OF2026-043"
"2026-06-15","15:00:00","G组","比利时","埃及","1-1","第3","8.89%","2-1(9.99%) / 2-0(9.22%) / 1-1(8.89%) / 1-0(8.61%) / 3-1(7.11%)","OF2026-037"
"2026-06-15","18:00:00","H组","沙特阿拉伯","乌拉圭","1-1","第3","13.17%","0-1(15.8%) / 0-0(15.05%) / 1-1(13.17%) / 1-0(12.29%) / 0-2(8.62%)","OF2026-044"
"2026-06-15","21:00:00","G组","伊朗","新西兰","2-2","未进前5","","1-0(12.0%) / 1-1(10.83%) / 2-0(10.68%) / 2-1(9.86%) / 0-0(6.7%)","OF2026-038"
"2026-06-16","15:00:00","I组","法国","塞内加尔","3-1","未进前5","","1-1(10.61%) / 2-1(9.54%) / 1-0(8.8%) / 2-0(7.84%) / 1-2(6.66%)","OF2026-049"
"2026-06-16","18:00:00","I组","伊拉克","挪威","1-4","未进前5","","0-1(12.77%) / 1-1(12.49%) / 0-2(9.53%) / 0-0(9.18%) / 1-2(8.87%)","OF2026-050"
"2026-06-16","21:00:00","J组","阿根廷","阿尔及利亚","3-0","第5","7.08%","2-0(10.26%) / 2-1(9.91%) / 1-1(9.8%) / 1-0(9.65%) / 3-0(7.08%)","OF2026-055"
"2026-06-17","00:00:00","J组","奥地利","约旦","3-1","未进前5","","1-1(12.14%) / 1-0(10.39%) / 2-1(9.2%) / 2-0(8.18%) / 0-1(7.64%)","OF2026-056"
"2026-06-17","13:00:00","K组","葡萄牙","刚果民主共和国","1-1","第5","8.24%","2-0(11.8%) / 1-0(9.91%) / 3-0(9.39%) / 2-1(9.38%) / 1-1(8.24%)","OF2026-061"
"2026-06-17","16:00:00","L组","英格兰","克罗地亚","4-2","未进前5","","2-0(10.04%) / 3-0(9.37%) / 2-1(8.83%) / 3-1(8.14%) / 1-0(7.36%)","OF2026-067"
"2026-06-17","19:00:00","L组","加纳","巴拿马","1-0","第2","10.11%","1-1(12.55%) / 1-0(10.11%) / 0-1(9.73%) / 2-1(8.15%) / 0-0(8.05%)","OF2026-068"
"2026-06-17","22:00:00","K组","乌兹别克斯坦","哥伦比亚","1-3","未进前5","","1-1(13.39%) / 0-1(12.79%) / 1-0(12.66%) / 0-0(12.37%) / 1-2(7.1%)","OF2026-062"
"2026-06-18","12:00:00","A组","捷克","南非","1-1","第1","13.41%","1-1(13.41%) / 0-1(11.61%) / 1-0(11.01%) / 0-0(9.73%) / 1-2(7.83%)","OF2026-003"
"2026-06-18","15:00:00","B组","瑞士","波黑","4-1","未进前5","","1-1(11.72%) / 1-0(9.8%) / 2-1(9.41%) / 2-0(8.22%) / 0-1(7.29%)","OF2026-009"
"2026-06-18","18:00:00","B组","加拿大","卡塔尔","6-0","未进前5","","2-0(10.04%) / 2-1(9.61%) / 1-0(8.26%) / 3-0(7.98%) / 3-1(7.94%)","OF2026-010"
"2026-06-18","21:00:00","A组","墨西哥","韩国","1-0","第2","10.27%","1-1(11.98%) / 1-0(10.27%) / 2-1(9.33%) / 2-0(7.96%) / 0-1(7.62%)","OF2026-004"
"2026-06-19","15:00:00","D组","美国","澳大利亚","2-0","第5","6.82%","1-1(10.74%) / 2-1(9.29%) / 1-0(8.09%) / 1-2(7.34%) / 2-0(6.82%)","OF2026-021"
"2026-06-19","18:00:00","C组","苏格兰","摩洛哥","0-1","第1","15.98%","0-1(15.98%) / 0-2(15.29%) / 0-3(9.85%) / 1-1(9.05%) / 1-2(8.73%)","OF2026-015"
"2026-06-19","20:30:00","C组","巴西","海地","3-0","第2","7.78%","3-1(8.14%) / 3-0(7.78%) / 2-1(7.65%) / 2-0(6.69%) / 4-1(6.47%)","OF2026-016"
"2026-06-19","23:00:00","D组","土耳其","巴拉圭","0-1","未进前5","","1-0(12.32%) / 1-1(11.76%) / 2-0(9.92%) / 2-1(9.45%) / 0-0(7.76%)","OF2026-022"
"2026-06-20","13:00:00","F组","荷兰","瑞典","5-1","未进前5","","3-1(7.75%) / 4-1(6.95%) / 3-0(6.34%) / 2-1(6.32%) / 4-0(5.68%)","OF2026-033"
"2026-06-20","16:00:00","E组","德国","科特迪瓦","2-1","第1","9.13%","2-1(9.13%) / 1-1(8.18%) / 3-1(6.88%) / 2-0(6.67%) / 2-2(6.31%)","OF2026-027"
"2026-06-20","20:00:00","E组","厄瓜多尔","库拉索","0-0","未进前5","","1-0(11.6%) / 2-0(11.53%) / 1-1(10.23%) / 2-1(9.86%) / 3-0(7.13%)","OF2026-028"
"2026-06-21","00:00:00","F组","突尼斯","日本","0-4","未进前5","","0-1(13.83%) / 1-1(12.46%) / 0-2(9.83%) / 0-0(9.79%) / 1-2(8.96%)","OF2026-034"
"2026-06-21","12:00:00","H组","西班牙","沙特阿拉伯","4-0","第3","8.95%","3-0(11.2%) / 2-0(10.55%) / 4-0(8.95%) / 3-1(7.52%) / 2-1(7.37%)","OF2026-045"
"2026-06-21","15:00:00","G组","比利时","伊朗","0-0","未进前5","","2-1(9.23%) / 1-1(8.33%) / 3-1(7.05%) / 2-0(6.81%) / 1-0(6.27%)","OF2026-039"
"2026-06-21","18:00:00","H组","乌拉圭","佛得角","2-2","未进前5","","1-0(15.91%) / 0-0(15.05%) / 1-1(13.35%) / 0-1(12.79%) / 2-0(8.24%)","OF2026-046"
