match_id,match_date,competition,home_team_cn,away_team_cn,home_score,away_score,neutral,match_type,source_competition
EXCEL-2,2014-10-22,CHAMPIONS_LEAGUE,莫陆军,曼彻斯特城,2,2,false,OFFICIAL,欧冠
EXCEL-3,2014-10-22,CHAMPIONS_LEAGUE,罗马,拜仁慕尼黑,3,4,false,OFFICIAL,欧冠
EXCEL-4,2014-10-22,CHAMPIONS_LEAGUE,希腊人,巴黎圣日尔曼,0,1,false,OFFICIAL,欧冠
EXCEL-5,2014-10-22,CHAMPIONS_LEAGUE,巴塞罗那,阿贾克斯,3,1,false,OFFICIAL,欧冠
EXCEL-6,2014-10-22,CHAMPIONS_LEAGUE,切尔西,马里博尔,6,0,false,OFFICIAL,欧冠
EXCEL-7,2014-10-22,CHAMPIONS_LEAGUE,沙尔克04,里斯本竞技,4,3,false,OFFICIAL,欧冠
EXCEL-8,2014-10-22,CHAMPIONS_LEAGUE,巴特,顿矿工,3,4,false,OFFICIAL,欧冠
EXCEL-9,2014-10-22,CHAMPIONS_LEAGUE,波尔图,毕尔巴鄂竞技,2,1,false,OFFICIAL,欧冠
EXCEL-10,2014-10-22,CLUB_OFFICIAL_OTHER,伯恩茅斯,雷丁,3,0,false,OFFICIAL,英冠
EXCEL-11,2014-10-22,CLUB_OFFICIAL_OTHER,布莱克本,伯明翰,1,0,false,OFFICIAL,英冠
EXCEL-12,2014-10-22,CLUB_OFFICIAL_OTHER,布莱克浦,德比郡,0,1,false,OFFICIAL,英冠
EXCEL-13,2014-10-22,CLUB_OFFICIAL_OTHER,布伦特福德,谢周三,0,0,false,OFFICIAL,英冠
EXCEL-14,2014-10-22,CLUB_OFFICIAL_OTHER,加的夫城,伊普斯,3,1,false,OFFICIAL,英冠
EXCEL-15,2014-10-22,CLUB_OFFICIAL_OTHER,查尔顿,博尔顿,2,1,false,OFFICIAL,英冠
EXCEL-16,2014-10-22,CLUB_OFFICIAL_OTHER,哈德斯,布赖顿,1,1,false,OFFICIAL,英冠
EXCEL-17,2014-10-22,CLUB_OFFICIAL_OTHER,诺维奇,利兹联,1,1,false,OFFICIAL,英冠
EXCEL-18,2014-10-22,CLUB_OFFICIAL_OTHER,罗瑟汉姆,富勒姆,3,3,false,OFFICIAL,英冠
EXCEL-19,2014-10-22,CLUB_OFFICIAL_OTHER,沃特福德,诺丁汉森林,2,2,false,OFFICIAL,英冠
EXCEL-20,2014-10-22,CLUB_OFFICIAL_OTHER,维冈,米尔沃尔,0,0,false,OFFICIAL,英冠
EXCEL-21,2014-10-22,CLUB_OFFICIAL_OTHER,狼队,米堡,2,0,false,OFFICIAL,英冠
EXCEL-22,2014-10-22,CLUB_OFFICIAL_OTHER,巴恩斯利,诺茨郡,2,3,false,OFFICIAL,英甲
EXCEL-23,2014-10-22,CLUB_OFFICIAL_OTHER,布城,布拉德福,2,2,false,OFFICIAL,英甲
EXCEL-24,2014-10-22,CLUB_OFFICIAL_OTHER,科切斯特,切菲尔德,2,1,false,OFFICIAL,英甲
EXCEL-25,2014-10-22,CLUB_OFFICIAL_OTHER,克劳利,沃尔索尔,1,0,false,OFFICIAL,英甲
EXCEL-26,2014-10-22,CLUB_OFFICIAL_OTHER,克鲁,彼得堡联,1,0,false,OFFICIAL,英甲
EXCEL-27,2014-10-22,CLUB_OFFICIAL_OTHER,唐卡斯特,莱顿东方,0,2,false,OFFICIAL,英甲
EXCEL-28,2014-10-22,CLUB_OFFICIAL_OTHER,吉灵汉姆,普雷斯顿,0,1,false,OFFICIAL,英甲
EXCEL-29,2014-10-22,CLUB_OFFICIAL_OTHER,米尔顿,福利特,2,1,false,OFFICIAL,英甲
EXCEL-30,2014-10-22,CLUB_OFFICIAL_OTHER,奥德汉姆,考文垂,4,1,false,OFFICIAL,英甲
EXCEL-31,2014-10-22,CLUB_OFFICIAL_OTHER,维尔港,斯肯索普,2,2,false,OFFICIAL,英甲
EXCEL-32,2014-10-22,CLUB_OFFICIAL_OTHER,谢菲联,约维尔,2,0,false,OFFICIAL,英甲
EXCEL-33,2014-10-22,CLUB_OFFICIAL_OTHER,斯文登,罗奇代尔,2,3,false,OFFICIAL,英甲
EXCEL-35,2014-10-22,CLUB_OFFICIAL_OTHER,墨美洲,危通信,2,0,false,OFFICIAL,中北美冠
EXCEL-36,2014-10-22,CLUB_OFFICIAL_OTHER,拉努斯,波特诺,1,1,false,OFFICIAL,俱乐部杯
EXCEL-37,2014-10-22,CLUB_OFFICIAL_OTHER,CD奥林,波特兰,3,1,false,OFFICIAL,中北美冠
EXCEL-38,2014-10-22,CLUB_OFFICIAL_OTHER,阿拉胡埃,蓝十字,1,1,false,OFFICIAL,中北美冠
EXCEL-39,2014-10-22,CLUB_OFFICIAL_OTHER,大阪樱花,德岛漩涡,3,1,false,OFFICIAL,日职
EXCEL-40,2014-10-22,CLUB_OFFICIAL_OTHER,东京FC,广岛三箭,2,1,false,OFFICIAL,日职
EXCEL-41,2014-10-22,CLUB_OFFICIAL_OTHER,柏太阳神,大阪钢巴,1,0,false,OFFICIAL,日职
EXCEL-42,2014-10-22,CLUB_OFFICIAL_OTHER,川崎前锋,鸟栖沙岩,2,0,false,OFFICIAL,日职
EXCEL-43,2014-10-22,CLUB_OFFICIAL_OTHER,名古屋鲸,仙台七夕,0,0,false,OFFICIAL,日职
EXCEL-44,2014-10-22,CLUB_OFFICIAL_OTHER,大宫松鼠,横滨水手,2,3,false,OFFICIAL,日职
EXCEL-45,2014-10-22,CLUB_OFFICIAL_OTHER,清水鼓动,新泻天鹅,2,1,false,OFFICIAL,日职
EXCEL-46,2014-10-22,CLUB_OFFICIAL_OTHER,浦和红钻,甲府风林,0,0,false,OFFICIAL,日职
EXCEL-47,2014-10-22,CLUB_OFFICIAL_OTHER,神户胜利,鹿岛鹿角,0,0,false,OFFICIAL,日职
FOTMOB-1630137,2014-10-22,CLUB_OFFICIAL_OTHER,哈马比,厄斯特松,4,2,false,OFFICIAL,瑞甲
FUTBOL24-67052620ABCA1731,2014-10-22,CLUB_OFFICIAL_OTHER,Loko Bilajary,MOIK Baku,0,1,false,OFFICIAL,阿塞杯
FUTBOL24-804751CDF25C6372,2014-10-22,CLUB_OFFICIAL_OTHER,Qaradag Lokb,齐拉,1,0,false,OFFICIAL,阿塞杯
FUTBOL24-96A9EAF76720D66D,2014-10-22,CLUB_OFFICIAL_OTHER,阿斯塔纳,阿拉木图凯拉特,5,1,false,OFFICIAL,哈萨超
FUTBOL24-B2A96ED08CA50E23,2014-10-22,CLUB_OFFICIAL_OTHER,阿克托比,奥达巴斯,4,1,false,OFFICIAL,哈萨超
SOCCERWAY-0jgOEvwc,2014-10-22,CLUB_OFFICIAL_OTHER,金泉尚武,首尔FC,0,1,false,OFFICIAL,韩国杯
