"match_id","match_date","competition","group_name","home_team_cn","away_team_cn","home_team_en","away_team_en","home_score","away_score","neutral","sporttery_match_number","handicap","normal_win","normal_draw","normal_lose","handicap_win","handicap_draw","handicap_lose","source_row"
"HIS-68217","2022-11-21","WORLD_CUP","世界杯","卡塔尔","厄瓜多尔","Qatar","Ecuador","0","2","true","","1","3.72","2.96","1.88","1.67","3.4","4.05","68217"
"HIS-68219","2022-11-22","WORLD_CUP","世界杯","塞内加尔","荷兰","Senegal","Netherlands","0","2","true","","1","6.2","3.72","1.41","2.35","3.15","2.52","68219"
"HIS-68220","2022-11-22","WORLD_CUP","世界杯","美国","威尔士","United States","Wales","1","1","true","","-1","2.54","2.84","2.56","7.05","3.9","1.35","68220"
"HIS-68221","2022-11-22","WORLD_CUP","世界杯","阿根廷","沙特阿拉伯","Argentina","Saudi Arabia","1","2","true","","-2","","","","2.22","3.75","2.37","68221"
"HIS-68222","2022-11-22","WORLD_CUP","世界杯","丹麦","突尼斯","Denmark","Tunisia","0","0","true","","-1","1.36","3.7","7.5","2.3","3.15","2.58","68222"
"HIS-68223","2022-11-23","WORLD_CUP","世界杯","墨西哥","波兰","Mexico","Poland","0","0","true","","-1","2.45","2.84","2.64","6.25","3.85","1.39","68223"
"HIS-68224","2022-11-23","WORLD_CUP","世界杯","法国","澳大利亚","France","Australia","4","1","true","","-2","1.16","5.2","12","2.82","3.8","1.92","68224"
"HIS-68235","2022-11-23","WORLD_CUP","世界杯","摩洛哥","克罗地亚","Morocco","Croatia","0","0","true","","1","3.6","2.9","1.94","1.65","3.35","4.25","68235"
"HIS-68236","2022-11-23","WORLD_CUP","世界杯","德国","日本","Germany","Japan","1","2","true","","-1","1.35","4.2","6.25","2.2","3.4","2.56","68236"
"HIS-68238","2022-11-24","WORLD_CUP","世界杯","比利时","加拿大","Belgium","Canada","1","0","true","","-1","1.32","4.2","7","2.13","3.35","2.7","68238"
"HIS-68241","2022-11-24","WORLD_CUP","世界杯","瑞士","喀麦隆","Switzerland","Cameroon","1","0","true","","-1","1.48","3.48","5.7","2.85","3","2.2","68241"
"HIS-68242","2022-11-24","WORLD_CUP","世界杯","乌拉圭","韩国","Uruguay","South Korea","0","0","true","","-1","1.6","3.15","5.1","3.3","3.05","1.97","68242"
"HIS-68243","2022-11-25","WORLD_CUP","世界杯","葡萄牙","加纳","Portugal","Ghana","3","2","true","","-1","1.24","4.4","9.5","1.99","3.25","3.05","68243"
"HIS-68244","2022-11-25","WORLD_CUP","世界杯","巴西","塞尔维亚","Brazil","Serbia","2","0","true","","-1","1.3","4.25","7.5","2.12","3.3","2.75","68244"
"HIS-68245","2022-11-25","WORLD_CUP","世界杯","威尔士","伊朗","Wales","Iran","0","2","true","","-1","2","2.86","3.45","4.55","3.4","1.6","68245"
"HIS-68246","2022-11-25","WORLD_CUP","世界杯","卡塔尔","塞内加尔","Qatar","Senegal","1","3","true","","1","5","3.4","1.55","2.08","3.2","2.9","68246"
"HIS-68247","2022-11-26","WORLD_CUP","世界杯","荷兰","厄瓜多尔","Netherlands","Ecuador","1","1","true","","-1","1.55","3.45","4.9","2.9","3.25","2.06","68247"
"HIS-68248","2022-11-26","WORLD_CUP","世界杯","英格兰","美国","England","United States","0","0","true","","-1","1.39","3.85","6.25","2.35","3.3","2.44","68248"
"HIS-68249","2022-11-26","WORLD_CUP","世界杯","突尼斯","澳大利亚","Tunisia","Australia","0","1","true","","-1","2.12","2.95","3.05","5.35","3.45","1.51","68249"
"HIS-68250","2022-11-26","WORLD_CUP","世界杯","波兰","沙特阿拉伯","Poland","Saudi Arabia","2","0","true","","-1","1.59","3.25","4.95","3.15","3.11","2","68250"
"HIS-68265","2022-11-27","WORLD_CUP","世界杯","法国","丹麦","France","Denmark","2","1","true","","-1","1.66","3.26","4.35","3.4","3.13","1.9","68265"
"HIS-68266","2022-11-27","WORLD_CUP","世界杯","阿根廷","墨西哥","Argentina","Mexico","2","0","true","","-1","1.4","3.75","6.3","2.5","3.1","2.4","68266"
"HIS-68268","2022-11-27","WORLD_CUP","世界杯","日本","哥斯达黎加","Japan","Costa Rica","0","1","true","","-1","1.35","4.05","6.6","2.2","3.28","2.63","68268"
"HIS-68269","2022-11-27","WORLD_CUP","世界杯","比利时","摩洛哥","Belgium","Morocco","0","2","true","","-1","1.62","3.35","4.48","3.16","3.25","1.94","68269"
"HIS-68274","2022-11-28","WORLD_CUP","世界杯","克罗地亚","加拿大","Croatia","Canada","4","1","true","","-1","1.95","3.15","3.25","4.3","3.5","1.61","68274"
"HIS-68275","2022-11-28","WORLD_CUP","世界杯","西班牙","德国","Spain","Germany","1","1","true","","-1","2.22","3.38","2.55","4.95","3.9","1.47","68275"
"HIS-68277","2022-11-28","WORLD_CUP","世界杯","喀麦隆","塞尔维亚","Cameroon","Serbia","3","3","true","","1","4.3","3.5","1.61","1.97","3.25","3.1","68277"
"HIS-68278","2022-11-28","WORLD_CUP","世界杯","韩国","加纳","South Korea","Ghana","2","3","true","","-1","2.22","2.95","2.86","5.3","3.65","1.48","68278"
"HIS-68279","2022-11-29","WORLD_CUP","世界杯","巴西","瑞士","Brazil","Switzerland","1","0","true","","-1","1.41","3.95","5.65","2.29","3.45","2.42","68279"
"HIS-68280","2022-11-29","WORLD_CUP","世界杯","葡萄牙","乌拉圭","Portugal","Uruguay","2","0","true","","-1","1.75","3.15","4","3.5","3.35","1.8","68280"
"HIS-68281","2022-11-29","WORLD_CUP","世界杯","厄瓜多尔","塞内加尔","Ecuador","Senegal","1","2","true","","-1","2.38","2.93","2.65","6.35","3.75","1.4","68281"
"HIS-68282","2022-11-29","WORLD_CUP","世界杯","卡塔尔","荷兰","Qatar","Netherlands","0","2","true","","2","13","6.2","1.11","2.11","3.9","2.45","68282"
"HIS-68283","2022-11-30","WORLD_CUP","世界杯","伊朗","美国","Iran","United States","0","1","true","","1","3.58","3.16","1.84","1.7","3.3","4.05","68283"
"HIS-68284","2022-11-30","WORLD_CUP","世界杯","威尔士","英格兰","Wales","England","0","3","true","","1","7.35","4.16","1.31","2.7","3.3","2.15","68284"
"HIS-68285","2022-11-30","WORLD_CUP","世界杯","突尼斯","法国","Tunisia","France","1","0","true","","1","7.4","4.15","1.31","2.7","3.55","2.05","68285"
"HIS-68286","2022-11-30","WORLD_CUP","世界杯","澳大利亚","丹麦","Australia","Denmark","1","0","true","","1","6.55","3.9","1.37","2.5","3.2","2.34","68286"
"HIS-68287","2022-12-01","WORLD_CUP","世界杯","沙特阿拉伯","墨西哥","Saudi Arabia","Mexico","1","2","true","","1","4.95","4.2","1.43","2.3","3.42","2.43","68287"
"HIS-68288","2022-12-01","WORLD_CUP","世界杯","波兰","阿根廷","Poland","Argentina","0","2","true","","1","7.4","4.05","1.32","2.65","3.25","2.2","68288"
"HIS-68289","2022-12-01","WORLD_CUP","世界杯","加拿大","摩洛哥","Canada","Morocco","1","2","true","","1","3.4","3.1","1.92","1.65","3.5","4.05","68289"
"HIS-68290","2022-12-01","WORLD_CUP","世界杯","克罗地亚","比利时","Croatia","Belgium","0","0","true","","1","2.95","3.15","2.07","1.54","3.6","4.7","68290"
"HIS-68291","2022-12-02","WORLD_CUP","世界杯","日本","西班牙","Japan","Spain","2","1","true","","1","7","4.3","1.31","2.78","3.5","2.03","68291"
"HIS-68292","2022-12-02","WORLD_CUP","世界杯","哥斯达黎加","德国","Costa Rica","Germany","2","4","true","","2","","","","3.06","4.1","1.76","68292"
"HIS-68293","2022-12-02","WORLD_CUP","世界杯","加纳","乌拉圭","Ghana","Uruguay","0","2","true","","1","4.7","3.45","1.57","2.02","3.22","3","68293"
"HIS-68294","2022-12-02","WORLD_CUP","世界杯","韩国","葡萄牙","South Korea","Portugal","2","1","true","","1","5.85","4.1","1.38","2.45","3.3","2.34","68294"
"HIS-68295","2022-12-03","WORLD_CUP","世界杯","塞尔维亚","瑞士","Serbia","Switzerland","2","3","true","","-1","2.43","3.16","2.43","6.2","3.8","1.4","68295"
"HIS-68296","2022-12-03","WORLD_CUP","世界杯","喀麦隆","巴西","Cameroon","Brazil","1","0","true","","2","10.5","5.5","1.16","1.86","3.95","2.87","68296"
"HIS-68297","2022-12-03","WORLD_CUP","世界杯","荷兰","美国","Netherlands","United States","3","1","true","","-1","1.61","3.2","4.85","3.15","3.2","1.97","68297"
"HIS-68298","2022-12-04","WORLD_CUP","世界杯","阿根廷","澳大利亚","Argentina","Australia","2","1","true","","-2","1.12","5.6","14.6","2.77","3.8","1.94","68298"
