provider,provider_id,season,match_date,source_date,competition,home_team,away_team,home_score,away_score,result_note,source_url
FUTBOL24,67052620ABCA1731,2014-2015,2014-10-22,2014-10-22,阿塞杯,Loko Bilajary,MOIK Baku,0,1,FT,https://www.futbol24.com/match/2014/10/22/national/Azerbaijan/Kubok/2014-2015/Round-1/Loko-Bilajary/vs/MOIK-Baku
FUTBOL24,804751CDF25C6372,2014-2015,2014-10-22,2014-10-22,阿塞杯,Qaradag Lokb,Zira FK,1,0,FT,https://www.futbol24.com/match/2014/10/22/national/Azerbaijan/Kubok/2014-2015/Round-1/Qaradag-Lokb/vs/Zira-FK
FOTMOB,1797537,2014/2015,2014-10-24,2014-10-24,阿塞超,FK Qabala,Sumqayit,3,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2014%2F2015
FOTMOB,1797539,2014/2015,2014-10-25,2014-10-25,阿塞超,AZAL PFC Baku,FK Baku,0,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2014%2F2015
FOTMOB,1797540,2014/2015,2014-10-26,2014-10-26,阿塞超,Qarabag FK,Khazar Lenkoran,3,2,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2014%2F2015
FOTMOB,1797541,2014/2015,2014-10-26,2014-10-26,阿塞超,FK Neftchi,Shamakhi FK,0,0,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2014%2F2015
FOTMOB,1797542,2014/2015,2014-10-29,2014-10-29,阿塞超,Sumqayit,Khazar Lenkoran,1,2,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2014%2F2015
FOTMOB,1797543,2014/2015,2014-10-29,2014-10-29,阿塞超,Shamakhi FK,Qarabag FK,0,0,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2014%2F2015
FOTMOB,1797545,2014/2015,2014-10-29,2014-10-29,阿塞超,FK Baku,FK Neftchi,1,3,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2014%2F2015
FOTMOB,1797546,2014/2015,2014-10-29,2014-10-29,阿塞超,AZAL PFC Baku,Simurq,2,2,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2014%2F2015
FOTMOB,1797547,2014/2015,2014-11-02,2014-11-02,阿塞超,Khazar Lenkoran,Simurq,2,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2014%2F2015
FOTMOB,1797548,2014/2015,2014-11-02,2014-11-02,阿塞超,FK Neftchi,AZAL PFC Baku,4,0,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2014%2F2015
FOTMOB,1797549,2014/2015,2014-11-02,2014-11-02,阿塞超,FK Qabala,FK Baku,1,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2014%2F2015
FOTMOB,1797551,2014/2015,2014-11-02,2014-11-02,阿塞超,Sumqayit,Shamakhi FK,0,0,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2014%2F2015
FOTMOB,1797553,2014/2015,2014-11-20,2014-11-20,阿塞超,Shamakhi FK,Khazar Lenkoran,3,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2014%2F2015
FOTMOB,1797554,2014/2015,2014-11-20,2014-11-20,阿塞超,FK Baku,Qarabag FK,2,4,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2014%2F2015
